사용일자,in_final,out_final,net_in_out_final,pre_week,next_week,week,weekend&public holiday
2023-11-17,39036.60963,42067.84134,-3031.231710000001,-2062.12953,-1848.08172,4,0
2023-11-20,35648.64351,38045.7609,-2397.1173900000017,-2302.0695299999998,-1949.0874600000018,0,0
2023-11-21,35466.64533,37311.74622,-1845.1008900000002,-2615.15184,-2108.0574300000003,1,0
2023-11-22,35331.64668,38054.761080000004,-2723.114400000002,-2241.0959100000023,-2595.58245,2,0
2023-11-23,37565.62434,40562.81124,-2997.1869000000015,-1964.088240000001,-1978.6181600000004,3,0
2023-11-24,39796.60203,43125.8625,-3329.260470000002,-2344.124100000002,-1888.6158699999992,4,0
2023-11-27,34335.65664,35976.71952,-1641.0628799999997,-2602.0523099999996,-2263.62206,0,0
2023-11-28,34825.65174,36673.73346,-1848.08172,-3031.231710000001,-2304.611640000001,1,0
2023-11-29,34949.650499999996,36898.73796,-1949.0874600000018,-2397.1173900000017,-2978.571320000001,2,0
2023-11-30,33842.66157,35950.719,-2108.0574300000003,-1845.1008900000002,-1666.6481099999999,3,0
2023-12-01,36562.63437,39158.21682,-2595.58245,-2723.114400000002,-1578.6185099999996,4,0
2023-12-04,34225.65774,36204.2759,-1978.6181600000004,-2997.1869000000015,-2116.6025400000008,0,0
2023-12-05,34634.65365,36523.26952,-1888.6158699999992,-3329.260470000002,-2559.6177700000007,1,0
2023-12-06,33265.66734,35529.2894,-2263.62206,-1641.0628799999997,-2903.580110000001,2,0
2023-12-07,34225.65774,36530.26938,-2304.611640000001,-1848.08172,-1955.6227099999999,3,0
2023-12-08,36909.630900000004,39888.20222,-2978.571320000001,-1949.0874600000018,-2202.619300000001,4,0
2023-12-11,31854.68145,33521.32956,-1666.6481099999999,-2108.0574300000003,-2122.620319999999,0,0
2023-12-12,34990.65009,36569.2686,-1578.6185099999996,-2595.58245,-2635.62478,1,0
2023-12-13,35511.64488,37628.24742,-2116.6025400000008,-1978.6181600000004,-3784.5751600000012,2,0
2023-12-14,33102.66897,35662.28674,-2559.6177700000007,-1888.6158699999992,-3026.59509,3,0
2023-12-15,36180.63819,39084.2183,-2903.580110000001,-2263.62206,-2714.5976200000005,4,0
2023-12-18,33816.66183,35772.28454,-1955.6227099999999,-2304.611640000001,-3647.570959999999,0,0
2023-12-19,33663.66336,35866.282660000004,-2202.619300000001,-2978.571320000001,-4149.54655,1,0
2023-12-20,33721.66278,35844.2831,-2122.620319999999,-1666.6481099999999,-2313.4635600000015,2,0
2023-12-21,32249.6775,34885.30228,-2635.62478,-1578.6185099999996,-1634.3910000000008,3,0
2023-12-22,34913.65086,38698.22602,-3784.5751600000012,-2116.6025400000008,-1062.3814199999995,4,0
2023-12-26,34436.65563,37463.250720000004,-3026.59509,-2559.6177700000007,-1901.3917599999997,1,0
2023-12-27,34807.65192,37522.24954,-2714.5976200000005,-2903.580110000001,-1784.3627600000013,2,0
2023-12-28,35607.64392,39255.21488,-3647.570959999999,-1955.6227099999999,-389.43231999999966,3,0
2023-12-29,37044.629550000005,41194.176100000004,-4149.54655,-2202.619300000001,-1286.45566,4,0
2024-01-01,26822.53644,29136.0,-2313.4635600000015,-2122.620319999999,-2032.4325400000002,0,0
2024-01-02,30450.609,32085.0,-1634.3910000000008,-2635.62478,-1497.43906,1,0
2024-01-03,30929.61858,31992.0,-1062.3814199999995,-3784.5751600000012,-2124.3843999999985,2,0
2024-01-04,30412.60824,32314.0,-1901.3917599999997,-3026.59509,-1360.4526799999996,3,0
